| key | values flipped | element/property | measured A | measured B | verdict |
|---|---|---|---|---|---|
| roles.brand_primary | "#123456" -> "#ee7733" | .lg-progress-fill background-color (frame progress, lg-frame-progress--role-brand_primary !important rule, styles.ts:2514) | rgb(18, 52, 86) | rgb(238, 119, 51) | ALIVE |
| roles.accent | "#123456" -> "#ee7733" | (no consumer) — design.color.accent's only consumer is nodeBorderColorValue('accent') (presets.ts) — a PER-NODE design_overrides.border_color enum this fixture's fields never set; the emitted --lg-accent custom property is never read by any rule in default-funnel/styles.ts. | n/a | n/a | UNMEASURABLE |
| roles.page_bg | "#f0f0f5" -> "#101018" | #lg-funnel-root background-color (scope-root rule, styles.ts:487) | rgb(240, 240, 245) | rgb(16, 16, 24) | ALIVE |
| roles.card | "#fafaff" -> "#1a1a22" | #lg-addr-p8_addr_street background-color (address page .lg-input, styles.ts:1825 — NOT .lg-question-card, which is the separate questionCard.background token) | rgb(250, 250, 255) | rgb(26, 26, 34) | ALIVE |
| roles.text | "#111111" -> "#eeeeee" | #lg-funnel-root color (scope-root rule, styles.ts:488) | rgb(17, 17, 17) | rgb(238, 238, 238) | ALIVE |
| roles.success | "#00ff00" -> "#003300" | (no consumer) — design.color.success only reaches the emitted --lg-success custom property; grep of default-funnel/styles.ts and components/presets.ts finds no rule consuming var(--lg-success) or the literal color.success token on any element this fixture renders (reassuranceBadge.iconColor/successState.iconColor are separate fixed tokens, not role-wired). | n/a | n/a | UNMEASURABLE |
| roles.error | "#ff0000" -> "#330000" | (no consumer) — design.color.error only reaches --lg-error (unconsumed) plus .lg-tscard[data-error="true"], which needs button_style.layout="card" (a different key, tested separately) AND a live client-validation error DOM state — neither is present on this fixture's default render; validation.errorTextColor (the inline per-field error paragraph color actually seen in the served HTML) is a separate, non-role-wired token. | n/a | n/a | UNMEASURABLE |
| typography.headline_font | "Newsreader" -> "Roboto Mono" | .lg-headline font-family (carrier page headline; applyDisplayFont -> design.headline.fontFamily, styles.ts headline rule) | Newsreader, Georgia, serif | "Roboto Mono", monospace | ALIVE |
| typography.body_font | "Fraunces" -> "Work Sans" | #lg-funnel-root font-family (applyBodyFont -> design.page.fontFamily, styles.ts:489) | Fraunces, Georgia, "Times New Roman", serif | "Work Sans", system-ui, Arial, sans-serif | ALIVE |
| typography.base_px | 10 -> 24 | .lg-continue font-size (Continue button, scaleFontSizes(basePxFactor) touches primaryButton.fontSize, styles.ts:1236) | 9.376px | 22.496px | ALIVE |
| typography.display_size | "m" -> "xxl" | .lg-headline font-size (carrier page headline; scaleDisplayFontSizes -> headline.fontSizeDesktop, theme.ts DISPLAY_FONTSIZE_PATHS) | 46.5px | 106.95px | ALIVE |
| controls.field_height | "small" -> "large" | #lg-addr-p8_addr_street min-height (address page .lg-input, applyFieldHeightStep -> design.input.minHeight, styles.ts:1824) | 44px | 60px | ALIVE |
| controls.button_size | "s" -> "l" | .lg-continue min-height (applyButtonSizeStep -> design.primaryButton.minHeight, styles.ts:1231) | 44px | 60px | ALIVE |
| controls.corners | "sharp" -> "pill" | .lg-question-card border-radius (applyRadiusScale -> design.questionCard.borderRadius, styles.ts:572) | 10px | 20px | ALIVE |
| extra_roles.brand_secondary | "#123456" -> "#ee7733" | (no consumer) — the only consumer is .lg-frame-background.lg-frame-bg-style-brand_gradient (styles.ts:2440); this fixture's frame background style class is lg-frame-bg-style-flat (confirmed in the served HTML), so the gradient rule never matches an element on this fixture. | n/a | n/a | UNMEASURABLE |
| extra_roles.surface_wash | "#123456" -> "#ee7733" | (no consumer) — the only consumer of color.primaryWash outside the unconsumed --lg-primary-wash var is .lg-range-radial:focus-within (styles.ts:1211), a RangeQuestion component; this fixture has no RangeQuestion section. | n/a | n/a | UNMEASURABLE |
| extra_roles.border | "#123456" -> "#ee7733" | #lg-addr-p8_addr_street border-top-color (address page .lg-input, unoverridden fallback var(--lg-field-border, color.border), styles.ts:1810-1813) | rgb(18, 52, 86) | rgb(238, 119, 51) | ALIVE |
| extra_roles.text_muted | "#123456" -> "#ee7733" | .lg-address-field-label color (address page field labels, styles.ts:1788-1792, page.textSecondaryColor) | rgb(18, 52, 86) | rgb(238, 119, 51) | ALIVE |
| extra_roles.button_primary_bg | "#123456" -> "#ee7733" | .lg-continue background-color (shared-page Continue button; no section palette re-point -> falls back to design.primaryButton.background, styles.ts:1228/1273) | rgb(18, 52, 86) | rgb(238, 119, 51) | ALIVE |
| extra_roles.button_primary_text | "#123456" -> "#eeeeee" | .lg-continue color (shared-page Continue button; falls back to design.primaryButton.color, styles.ts:1229) | rgb(18, 52, 86) | rgb(238, 238, 238) | ALIVE |
| extra_roles.button_secondary_bg | "#123456" -> "#ee7733" | (no consumer) — color.primaryGhost's only other consumers are .lg-frame-benefit (styles.ts:2570, a frame benefit-bar region this fixture's frame does not configure) and .lg-frame-logo-hint (styles.ts:3218, explicitly commented 'never emitted live' — admin-preview only). | n/a | n/a | UNMEASURABLE |
| button_style.fill | "outline" -> "soft" | .lg-btn-answer border-radius (carrier page, first choice; bs.fill==="soft" sets radius.full, styles.ts:170-173) | 14px | 9999px | ALIVE |
| button_style.layout | "grid" -> "list" | .lg-answer-group grid-template-columns (carrier page; bs.layout==="list" forces 1fr, styles.ts:187) | 63.5px 63.5px 63.5px 63.5px | 64.75px 106.625px 106.625px | ALIVE |
| button_style.selected | "wash" -> "mark" | count(.lg-answer-group .lg-check-hollow) (carrier page; bs.selected==="mark" unconditionally renders a hollow+badge span pair per choice, presets.ts selectedMarkerMarkup) | 0 | 3 | ALIVE |
| spacing | "cozy" -> "roomy" | (no consumer) — theme.ts's own doc comment (ThemeRecordSpacing): "Round-tripped only; never rendered without a design addendum (§0 fidelity-vs-function rule) — no Phase-A code interprets it." No consumer reads ThemeRecord.spacing anywhere in the runtime — reserved-but-inert by design, not a defect. | n/a | n/a | UNMEASURABLE |

TOTALS: 25 keys swept — ALIVE 18, DEAD 0, UNMEASURABLE 7.
